userId,bookId,location,Occupied
37,18619684-the-time-traveler-s-wife,"[7.063572215549382, 79.87322341078674]",1
38,17245.Dracula,"[7.843074524731785, 79.88575663515694]",1
39,5129.Brave_New_World,"[7.0861043873090965, 79.91024161572544]",1
40,320.One_Hundred_Years_of_Solitude,"[7.174765300570722, 79.95335788221223]",0
41,5107.The_Catcher_in_the_Rye,"[6.986752234089158, 80.0086961286798]",1
42,21787.The_Princess_Bride,"[7.12006327914349, 79.87781492012542]",0
43,28187.The_Lightning_Thief,"[7.267903676304704, 79.91159288904777]",1
44,2998.The_Secret_Garden,"[7.5683180564559684, 79.90855212276892]",0
45,128029.A_Thousand_Splendid_Suns,"[7.250198775092622, 79.86187106441949]",1
46,33574273-a-wrinkle-in-time,"[7.496256336080591, 79.88666821763988]",1
47,13496.A_Game_of_Thrones,"[7.760150793118692, 79.94205229472043]",1
48,2956.The_Adventures_of_Huckleberry_Finn,"[7.146413412200568, 79.89836316333377]",1
49,12232938-the-lovely-bones,"[7.2714323727495245, 79.90885524881534]",0
50,231804.The_Outsiders,"[7.212602705581278, 79.94703247305313]",0
51,19543.Where_the_Wild_Things_Are,"[7.671958563614621, 79.89898212281503]",1
52,23772.Green_Eggs_and_Ham,"[7.909768106924967, 79.91856044849675]",0
53,1381.The_Odyssey,"[7.373003989623537, 79.89201476850643]",1
54,4214.Life_of_Pi,"[7.80155551545288, 79.96226348570916]",0
55,1953.A_Tale_of_Two_Cities,"[7.165403334581704, 79.98518534568329]",1
56,43641.Water_for_Elephants,"[7.5022422588541, 79.9869329098095]",0
57,7604.Lolita,"[7.522127292689599, 79.93871720472625]",1
58,4981.Slaughterhouse_Five,"[7.509379750180425, 80.01365324432243]",0
59,35031085-frankenstein,"[7.4203068835839145, 79.98939836060558]",0
60,77203.The_Kite_Runner,"[7.331243682538193, 80.02348419760078]",0
61,38447.The_Handmaid_s_Tale,"[7.152618723296557, 79.87226654371369]",1
62,3636.The_Giver,"[7.168811579520858, 79.9247083882418]",1
63,168668.Catch_22,"[7.527812226281025, 79.99206609981125]",0
64,44767458-dune,"[7.382767609308792, 79.89193316621574]",1
65,5043.The_Pillars_of_the_Earth,"[7.806746537029582, 79.91189956128228]",0
66,149267.The_Stand,"[7.6867214109420345, 79.97219645878135]",0
67,3590.The_Adventures_of_Sherlock_Holmes,"[7.459973653267573, 79.87115722430785]",0
68,76620.Watership_Down,"[7.746522750426004, 79.89504932054712]",0
69,2623.Great_Expectations,"[7.564648920895037, 79.99833434212323]",0
70,1934.Little_Women,"[7.843915788155139, 79.94252526630865]",0
71,6514.The_Bell_Jar,"[7.231356326772073, 79.9137163478779]",0
72,136251.Harry_Potter_and_the_Deathly_Hallows,"[7.260312758252324, 79.99747602499747]",1
73,332613.One_Flew_Over_the_Cuckoo_s_Nest,"[7.35574108917207, 80.0047716302695]",0
74,15823480-anna-karenina,"[7.329114936591162, 79.99493688917742]",0
75,10964.Outlander,"[7.858526571191175, 79.9386298147917]",0
76,10917.My_Sister_s_Keeper,"[7.066645871404108, 79.97214694486138]",1
77,39988.Matilda,"[7.495247282646114, 79.94667220402606]",0
78,3263607-the-fellowship-of-the-ring,"[7.1216540248211855, 79.86922408584668]",1
79,2429135.The_Girl_with_the_Dragon_Tattoo,"[7.903390634235962, 79.96051294361448]",0
80,17899948-rebecca,"[7.338674946091597, 79.97930471234294]",0
81,40961427-1984,"[6.97337535688334, 79.92781659240032]",1
82,52892857-the-color-purple,"[7.427311112976918, 79.93556447801296]",0
83,14891.A_Tree_Grows_in_Brooklyn,"[7.004879609966419, 79.8879127900218]",0
84,41817486-a-clockwork-orange,"[7.902314002585356, 79.98268838779035]",0
85,6288.The_Road,"[7.108219592867107, 80.02437901336206]",1
86,4934.The_Brothers_Karamazov,"[7.883690186768937, 79.86838217949077]",0
87,252577.Angela_s_Ashes,"[7.742515164657909, 79.97567023324318]",1
88,345627.Vampire_Academy,"[7.6657450595128696, 79.99798233640914]",0
89,52036.Siddhartha,"[7.023279604757446, 79.97159907114946]",1
90,7244.The_Poisonwood_Bible,"[7.465088486750353, 79.91963644337484]",0
91,119322.The_Golden_Compass,"[7.898295285825462, 79.86943593646004]",0
92,3836.Don_Quixote,"[7.236876208413777, 79.99075596552832]",0
93,662.Atlas_Shrugged,"[7.831140009248237, 79.94628047902496]",0
94,5.Harry_Potter_and_the_Prisoner_of_Azkaban,"[7.478021983937276, 79.9607846845208]",0
95,2165.The_Old_Man_and_the_Sea,"[7.790582998159961, 79.91262872087572]",0
96,33648131-the-notebook,"[7.397505060706318, 80.01016933470723]",1
97,99107.Winnie_the_Pooh,"[7.420802834171308, 79.94333651410551]",1
98,23919.The_Complete_Stories_and_Poems,"[7.884290525912277, 79.8714193597961]",0
99,43763.Interview_with_the_Vampire,"[7.159122731597927, 80.01877671429452]",1
100,4473.A_Prayer_for_Owen_Meany,"[7.577562996012459, 79.9938627067234]",1
101,153747.Moby_Dick_or_the_Whale,"[6.964623435448616, 79.93753055486137]",0
102,4989.The_Red_Tent,"[7.554607791466643, 79.95766500853114]",0
103,37435.The_Secret_Life_of_Bees,"[7.582120884484059, 79.92856517978306]",1
104,6.Harry_Potter_and_the_Goblet_of_Fire,"[7.1370737920464915, 79.98204887177654]",0
105,7171637-clockwork-angel,"[7.646430095659689, 79.94782090620077]",1
106,1.Harry_Potter_and_the_Half_Blood_Prince,"[7.722971088032525, 79.94951462638572]",0
107,16299.And_Then_There_Were_None,"[7.794682009589161, 79.91801430442369]",0
108,2187.Middlesex,"[7.895075326472605, 79.96177633484506]",0
109,49552.The_Stranger,"[7.368116615590857, 79.93885451417614]",0
110,117833.The_Master_and_Margarita,"[7.322547412869228, 79.87172165733381]",0
111,186074.The_Name_of_the_Wind,"[7.80004319016631, 79.96413725217921]",0
112,11588.The_Shining,"[7.068203822097269, 79.99797939251214]",1
113,24583.The_Adventures_of_Tom_Sawyer,"[7.826748160611899, 79.96423447177592]",0
114,113436.Eragon,"[7.104763619391871, 79.98270733738687]",0
115,6310.Charlie_and_the_Chocolate_Factory,"[7.8140337548641705, 79.88957881562544]",0
116,36576608-flowers-for-algernon,"[7.846864159982607, 79.87949868278935]",0
117,70401.On_the_Road,"[7.478836395335937, 80.0124371078076]",0
118,485894.The_Metamorphosis,"[7.172432911873541, 79.90026991731894]",1
119,99561.Looking_for_Alaska,"[7.675280779734003, 79.88712201044167]",0
120,1232.The_Shadow_of_the_Wind,"[7.676646183730153, 79.97980171571801]",1
121,1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,"[6.953568290157971, 79.94542155364923]",1
122,4948.The_Very_Hungry_Caterpillar,"[6.987528960933196, 79.95554618893844]",0
123,6900.Tuesdays_with_Morrie,"[7.516729258518081, 79.89577075429911]",0
124,9717.The_Unbearable_Lightness_of_Being,"[7.69870949357051, 79.93880020954694]",0
125,119073.The_Name_of_the_Rose,"[7.3983097839602765, 79.98259164618881]",1
126,10365.Where_the_Red_Fern_Grows,"[7.902156293934149, 79.95411644530455]",0
127,15881.Harry_Potter_and_the_Chamber_of_Secrets,"[7.37196426837436, 79.91963460061278]",1
128,22034.The_Godfather,"[7.664282375124559, 79.93562734065374]",0
129,12296.The_Scarlet_Letter,"[7.412060958729151, 79.90793193925734]",0
130,168642.In_Cold_Blood,"[7.07303642858863, 79.96765667864241]",0
131,36236124-fight-club,"[7.311550505771488, 80.00143583976174]",1
132,3431.The_Five_People_You_Meet_in_Heaven,"[7.699179114208828, 79.93801579840449]",1
133,6339664-hush-hush,"[7.919629081525455, 79.89548663824594]",0
134,233093.The_Cat_in_the_Hat,"[7.573072064493794, 79.91676799489468]",1
135,30165203-american-gods,"[7.1673799495272075, 80.0048366120719]",0
136,7126.The_Count_of_Monte_Cristo,"[7.294621061302831, 79.96574003805335]",1
137,256008.Lonesome_Dove,"[7.0284397659567714, 80.01786422346797]",0
138,343.Perfume,"[7.832197932252727, 79.9923338181465]",1
139,38709.Holes,"[7.264977512265613, 79.98497447906819]",1
140,100915.The_Lion_the_Witch_and_the_Wardrobe,"[7.259722281066838, 80.00621741835089]",0
141,472331.Watchmen,"[7.414416764834772, 79.95696705024989]",1
142,830502.It,"[7.4386442821664245, 79.90659111324467]",1
143,4556058-the-last-olympian,"[7.494114600320122, 79.93728584185818]",0
144,114345.The_Little_House_Collection,"[7.210638981840306, 79.96940854598729]",0
145,6656.The_Divine_Comedy,"[7.188541520667757, 79.96453863714144]",1
146,34268.Peter_Pan,"[7.700173629741683, 79.88607834715171]",0
147,355697.All_Quiet_on_the_Western_Front,"[7.334046764983883, 79.87470338884158]",0
148,5907.The_Hobbit_or_There_and_Back_Again,"[7.183950467026249, 80.02333313347272]",0
149,1423.The_Compleat_Works_of_Wllm_Shkspr,"[6.965174548929796, 80.00086306111105]",0
150,9712.Love_in_the_Time_of_Cholera,"[7.870722373919616, 79.9647887125401]",0
151,2802316-shadow-kiss,"[7.422023098591126, 79.91143302227626]",0
152,11735983-insurgent,"[7.1505165170679765, 79.87639243917197]",1
153,3412.The_Thorn_Birds,"[7.219341989452255, 79.98884401264122]",0
154,35545737-a-walk-to-remember,"[7.906607294631103, 79.89733665309531]",1
155,113946.How_the_Grinch_Stole_Christmas_,"[6.96118762936397, 79.91852200539957]",1
156,13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy,"[7.226299069029803, 79.96829463716509]",0
157,6867.Atonement,"[7.769615256815402, 79.9876136498483]",0
158,92303.The_Importance_of_Being_Earnest,"[7.129029534443989, 79.90155869787746]",1
159,19501.Eat_Pray_Love,"[7.330185261145317, 79.91155674436465]",0
160,37415.Their_Eyes_Were_Watching_God,"[7.730374211666113, 79.87734412631957]",1
161,7190.The_Three_Musketeers,"[7.829124009765897, 79.86304851139099]",0
162,236093.The_Wonderful_Wizard_of_Oz,"[7.169076954000906, 80.01328588153608]",0
163,2282133.Frostbite,"[7.007297815601062, 79.94393687907855]",1
164,32929.Goodnight_Moon,"[7.371985952299892, 79.89619145826103]",1
165,7784.The_Lorax,"[7.7615374953737675, 79.90133568248326]",0
166,12067.Good_Omens,"[7.476562399406221, 79.97696810320559]",0
167,5996153-blood-promise,"[7.6378284007396555, 79.99561867479264]",0
168,32261.Tess_of_the_D_Urbervilles,"[7.546487967753555, 79.91008491500516]",0
169,1078.The_Good_Earth,"[7.759387091195853, 80.00857291411138]",0
170,4900.Heart_of_Darkness,"[7.88328572959237, 79.89826915405814]",0
171,2120932.The_Battle_of_the_Labyrinth,"[7.1932968683220215, 80.0119957720344]",0
172,1622.A_Midsummer_Night_s_Dream,"[7.2796105664455615, 79.86915767493566]",0
173,18335634-clockwork-princess,"[7.009506077514442, 79.99607436751528]",1
174,2547.The_Prophet,"[7.006010840519728, 80.02241615251185]",1
175,40605251-the-mists-of-avalon,"[7.121605303712958, 79.90462399933979]",0
176,561456.The_Titan_s_Curse,"[7.036350260713286, 79.86912546806771]",0
177,28186.The_Sea_of_Monsters,"[7.352778113312294, 79.93704187455192]",1
178,7763.The_Joy_Luck_Club,"[7.132225018357506, 79.89421968243515]",1
179,13023.Alice_in_Wonderland,"[7.635548843329709, 79.967245526484]",0
180,1852.The_Call_of_the_Wild,"[7.467826223890649, 79.98785229217101]",0
181,71728.Jonathan_Livingston_Seagull,"[7.577466358428762, 79.95357331864565]",1
182,2175.Madame_Bovary,"[7.548907920926971, 79.93125409277852]",0
183,378.The_Phantom_Tollbooth,"[7.610501885307546, 79.88952431969507]",0
184,40940121-bridge-to-terabithia,"[7.29546771221101, 79.95381335074183]",1
185,7938275-the-hunger-games-trilogy-boxset,"[7.185982858103942, 79.99042973097431]",0
186,191139.Oh_the_Places_You_ll_Go_,"[7.767101439477681, 79.97839880730257]",1
187,5060378-the-girl-who-played-with-fire,"[7.682053749250209, 80.0231018356583]",0
188,6186357-the-maze-runner,"[6.9442502499234475, 80.01717449277776]",1
189,27712.The_Neverending_Story,"[7.368978978144399, 79.87621076660524]",0
190,18254.Oliver_Twist,"[7.780818467916254, 79.96491218304958]",1
191,338798.Ulysses,"[7.172821552810507, 79.88294952579047]",0
192,295.Treasure_Island,"[7.375944183121722, 79.90037322054224]",1
193,10818853-fifty-shades-of-grey,"[7.282199231730136, 79.91830345488337]",0
194,40611463-the-clan-of-the-cave-bear,"[7.890858530745451, 79.96811086839364]",0
195,62291.A_Storm_of_Swords,"[7.702513112789432, 79.8777389331974]",0
196,2696.The_Canterbury_Tales,"[7.164056814788969, 79.86215783473288]",0
197,7069.The_World_According_to_Garp,"[7.778469231314702, 79.96055677731012]",0
198,10799.A_Farewell_to_Arms,"[7.331578977203329, 79.98936016227579]",0
199,58696.David_Copperfield,"[7.450570735844694, 79.87873837900048]",0
200,6350972-tote-m-dchen-l-gen-nicht,"[7.045472977606357, 79.87831290593573]",1
201,37442.Wicked,"[7.0810880986026525, 79.87832630532847]",1
202,402093.Sh_gun,"[7.315972792048794, 79.95979594351832]",0
203,4588.Extremely_Loud_Incredibly_Close,"[7.403023766148559, 79.97024560712559]",0
204,853510.Murder_on_the_Orient_Express,"[7.012060392198516, 79.86959216540667]",0
205,18116.His_Dark_Materials,"[7.433376408671261, 79.91908231611797]",1
206,3008.A_Little_Princess,"[7.335647802053994, 79.88268122624004]",1
207,37470.The_Other_Boleyn_Girl,"[7.3108049552481, 79.98053292086563]",1
208,375013.Schindler_s_List,"[7.396211832002212, 79.92985964969789]",1
209,39999.The_Boy_in_the_Striped_Pajamas,"[7.430187891804507, 80.00183121387346]",1
210,40604658-jurassic-park,"[7.740265101008626, 79.91446158835447]",0
211,6527740-last-sacrifice,"[7.8529934639674535, 79.8733829763586]",0
212,9361589-the-night-circus,"[7.402326933558287, 79.92064575524967]",0
213,6487308-fallen,"[6.956484897777119, 79.92124380622263]",0
214,7332.The_Silmarillion,"[7.055182161940459, 79.95841428229383]",0
215,514811.The_Secret_Magdalene,"[7.34343582269162, 80.00328167364825]",0
216,6149.Beloved,"[7.099388961209655, 79.868973589014]",0
217,17690.The_Trial,"[7.154433061168319, 79.88210780492945]",0
218,310612.A_Confederacy_of_Dunces,"[7.846110971975914, 79.87376443833742]",0
219,3876.The_Sun_Also_Rises,"[7.383733360471954, 79.9914341500114]",0
220,10507293-the-selection,"[7.139871717774477, 79.89315969877529]",0
221,144974.The_Velveteen_Rabbit,"[7.891989167202479, 79.9531255877206]",0
222,6148028-catching-fire,"[7.4244874306355495, 79.9115740682337]",0
223,7736182-the-lost-hero,"[6.976319410065945, 79.88776288069124]",0
224,7896527-throne-of-glass,"[7.812401358878654, 79.91719683212247]",1
225,6479259-spirit-bound,"[6.930223124538163, 79.9315875242433]",0
226,10025305-clockwork-prince,"[7.000450792013951, 79.86583721665525]",1
227,1375.The_Iliad_The_Odyssey,"[6.930188660636794, 79.94980118216948]",1
228,17250.The_Crucible,"[7.1237190768558305, 79.96565458039942]",0
229,135479.Cat_s_Cradle,"[7.705211586597678, 79.927771824102]",1
230,9777.The_God_of_Small_Things,"[7.569645352195242, 79.94285919617386]",0
231,5659.The_Wind_in_the_Willows,"[7.658617989398227, 79.90905052840294]",0
232,8130077-the-screwtape-letters,"[6.97310635137859, 79.9961321439579]",1
233,2865.Girl_with_a_Pearl_Earring,"[7.069941789706736, 79.96976133195881]",1
234,561909.The_Hiding_Place,"[7.462683830647705, 79.87174694989214]",0
235,30118.A_Light_in_the_Attic,"[7.434810692628306, 80.00833005397126]",1
236,23807.The_Silence_of_the_Lambs,"[7.038389032646532, 79.88653893353401]",0
237,6068551-shiver,"[7.441370099419418, 79.93164735077761]",0
238,24770.Uglies,"[6.933897704224089, 79.91175008371006]",0
239,6752378-city-of-fallen-angels,"[7.414384969064736, 79.96914390099589]",0
240,4069.Man_s_Search_for_Meaning,"[7.207268284034061, 79.96933485595345]",0
241,5203.She_s_Come_Undone,"[7.435828741650492, 80.00050492951956]",1
242,480204.The_Phantom_of_the_Opera,"[7.561800378355062, 80.01116571621431]",1
243,12691.Marley_and_Me,"[7.682788121572794, 79.95193272263555]",0
244,24337.Ella_Enchanted,"[7.773293599753632, 79.9137398352719]",1
245,11275.The_Wind_Up_Bird_Chronicle,"[7.046760835196258, 79.97785818912307]",1
246,36381037-cinder,"[6.960216289269753, 79.87196754777177]",1
247,11566.The_Green_Mile,"[7.558497610903075, 80.0208929325144]",1
248,40495148-blindness,"[7.249851877807449, 79.913259126906]",0
249,10572.A_Clash_of_Kings,"[7.6417306454454055, 79.8762915823972]",1
250,10975.The_Sound_and_the_Fury,"[7.586389293020929, 79.92660724996287]",0
251,40874325-the-shack,"[7.599007229510958, 80.01788986277543]",0
252,30183.Marked,"[7.150222390711077, 79.96405024955914]",0
253,39832183-the-guernsey-literary-and-potato-peel-pie-society,"[7.101201962138834, 79.97028221807498]",0
254,46170.For_Whom_the_Bell_Tolls,"[7.323592374600146, 79.96014135033712]",1
255,7745.Fear_and_Loathing_in_Las_Vegas,"[7.0625169793238936, 79.95830085549632]",1
256,9328.The_House_of_the_Spirits,"[7.682412343398809, 80.01331704332979]",0
257,24812.The_Complete_Calvin_and_Hobbes,"[7.56060985445145, 80.01821938391025]",1
258,546018.Roots,"[7.794963785271305, 79.99515067992289]",0
259,10614.Misery,"[7.782074276641884, 79.97689500211521]",1
260,6294.Howl_s_Moving_Castle,"[7.037670026798876, 79.97066964271909]",0
261,350.Stranger_in_a_Strange_Land,"[7.089445926686631, 79.93872958765687]",1
262,41044096-island-of-the-blue-dolphins,"[6.983002773755917, 79.99920592211066]",1
263,4502877-midnight-sun-2008-draft,"[7.523476590261413, 80.00804594286795]",1
264,6892870-the-girl-who-kicked-the-hornet-s-nest,"[7.895837494109548, 79.93219133464247]",1
265,29044.The_Secret_History,"[7.828627249930815, 79.87963196597687]",1
266,32234.White_Oleander,"[7.6739386496555, 80.00427381543255]",0
267,48855.The_Diary_of_a_Young_Girl,"[7.356522525883933, 79.90177942264472]",0
268,11614718-delirium,"[7.1985573617979846, 79.99605141252951]",1
269,11505797-beautiful-disaster,"[7.63291491912498, 79.9975298062422]",1
270,12996.Othello,"[7.621310632890733, 79.9038302685141]",0
271,6801755-flow-down-like-silver,"[7.15553712776063, 79.9469470937721]",0
272,6442769-paper-towns,"[7.064116486825404, 80.01093780072044]",0
273,43814.The_Vampire_Lestat,"[7.292814316687697, 79.97824171001649]",1
274,39280444-speak,"[7.331680071973436, 79.96301500813838]",0
275,12505.The_Idiot,"[6.939069767688737, 79.88857104956774]",0
276,12938.King_Lear,"[7.536959079010149, 79.96777102228862]",0
277,43545.The_Once_and_Future_King,"[7.804852951651656, 79.98212433325416]",0
278,227711.I_Know_This_Much_Is_True,"[7.657302161573374, 79.94265276389801]",1
279,14497.Neverwhere,"[7.573315318428046, 79.86517583120876]",1
280,1845.Into_the_Wild,"[7.229624038005401, 79.92109630085821]",0
281,28194.Inkheart,"[7.75436553000033, 79.99723837931042]",1
282,46787.Uncle_Tom_s_Cabin,"[7.327136159254449, 79.96458645371615]",0
283,28881.Lamb,"[7.038976788834542, 79.86512112579543]",1
284,30236962-the-historian,"[7.5163870868731575, 79.8760892623946]",0
285,188572.The_Complete_Sherlock_Holmes,"[7.1853591934263985, 79.90740791271763]",0
286,19380.Candide,"[7.644011413161188, 79.87333423982642]",0
287,6689.James_and_the_Giant_Peach,"[7.250352204786392, 79.90748119641326]",0
288,16981.Invisible_Man,"[7.804804819617472, 79.96277365646061]",0
289,19288043-gone-girl,"[7.809393370405537, 80.02043153888128]",0
290,2184798.Blood_River,"[6.98979353899787, 79.95369612521053]",0
291,15997.Paradise_Lost,"[7.280537767112259, 79.8895372188394]",1
292,32085.All_Creatures_Great_and_Small,"[7.918668449825203, 79.9624048237415]",0
293,3236307-graceling,"[7.001260037812596, 79.90178357766054]",1
294,569564.The_Complete_Works,"[7.591515404438656, 80.02232036843426]",0
295,40440.The_Thirteenth_Tale,"[7.844950501017194, 80.02094908436064]",0
296,29579.Foundation,"[7.112372307625693, 80.00794739072394]",1
297,11297.Norwegian_Wood,"[7.5521603833263224, 79.98597101355634]",1
298,133518.The_Things_They_Carried,"[7.768941037186725, 79.86271922103032]",0
299,4687.The_Cider_House_Rules,"[7.229510415983868, 79.90424524179963]",0
300,2493.The_Time_Machine,"[6.994689004934299, 79.95840974731682]",0
301,39662.Different_Seasons,"[7.734243461377376, 79.8750424911487]",1
302,4929.Kafka_on_the_Shore,"[7.550037331960058, 79.92682629252074]",1
303,93.Heidi,"[7.171196851317054, 79.99796271923407]",0
304,37732.Are_You_There_God_It_s_Me_Margaret,"[7.490161649918149, 79.87011583333688]",1
305,8755776-city-of-lost-souls,"[7.496560656524595, 79.9187003225913]",0
306,10959.Sophie_s_World,"[7.110950651907811, 79.92491035039347]",0
307,16902.Walden,"[7.526464606588228, 79.98198015001118]",0
308,1215032.The_Wise_Man_s_Fear,"[6.949329478923931, 80.02140776476789]",0
309,40937505,"[7.021460140334902, 79.98525270728716]",0
310,58345.The_Awakening,"[7.414129323109278, 79.95842681555737]",0
311,16068905-fangirl,"[7.096839978218494, 79.89482374844836]",1
312,228560.Sophie_s_Choice,"[7.54636395919485, 79.87325090900546]",0
313,16735.The_Prince_of_Tides,"[7.390220150342502, 79.87306226908706]",0
314,6334.Never_Let_Me_Go,"[7.3069823311136, 79.99446858577102]",0
315,9520360-the-son-of-neptune,"[7.176788879108553, 79.98643278118114]",0
316,301082.Dead_Until_Dark,"[7.2853482042757465, 79.98659663173439]",0
317,9375.Fried_Green_Tomatoes_at_the_Whistle_Stop_Cafe,"[7.600773473048825, 79.9011187622697]",1
318,11857408-fifty-shades-darker,"[7.400834876477821, 79.98424415347624]",1
319,9969571-ready-player-one,"[7.846728709269456, 80.01657832566222]",0
320,19089.Middlemarch,"[7.734888932541073, 80.02343517839888]",0
321,44186.The_Monster_at_the_End_of_this_Book,"[7.696716173339229, 79.94266399224736]",0
322,17927395-a-court-of-mist-and-fury,"[7.86205894748152, 80.00508743657147]",1
323,37781.Things_Fall_Apart,"[7.074872052220978, 80.01053583241651]",0
324,227443.Bridget_Jones_s_Diary,"[7.193262535618992, 79.8798135207125]",0
325,14942.Mrs_Dalloway,"[7.0962095499566535, 80.00414098383612]",1
326,7260188-mockingjay,"[7.212624175717043, 79.92039298655013]",0
327,5113.Franny_and_Zooey,"[7.463663215322521, 79.90920824955363]",0
328,122.The_Power_of_One,"[7.15933442429712, 79.86667470446847]",0
329,65605.The_Magician_s_Nephew,"[7.524085932653253, 79.9985745214567]",0
330,16793.Stardust,"[7.5153774368979285, 80.01681826857798]",1
331,32542.A_Time_to_Kill,"[7.360306466797486, 79.93370055648876]",0
332,43615.The_Gunslinger,"[7.664710152091934, 79.99848391610405]",0
333,47281.Number_the_Stars,"[7.460125697108348, 79.98547228064399]",1
334,36402034-do-androids-dream-of-electric-sheep,"[7.919710283745639, 79.95471235822055]",0
335,18710190-allegiant,"[7.850867755076547, 79.92238448215859]",1
336,15745753-eleanor-park,"[7.846552034585681, 79.91543153269893]",0
337,21.A_Short_History_of_Nearly_Everything,"[7.901334774527967, 80.00870010522488]",1
338,33.The_Lord_of_the_Rings,"[7.174582105312678, 79.94828364958883]",0
339,17347634-me-before-you,"[7.0688389872497215, 79.98150668619144]",0
340,12127750-the-mark-of-athena,"[6.964932258351416, 79.8882889482872]",0
341,3153910-the-art-of-racing-in-the-rain,"[7.2387865546755386, 79.97118357147748]",1
342,7235533-the-way-of-kings,"[7.18606376544422, 79.92760796098109]",1
343,4374400-if-i-stay,"[7.262508834796717, 79.95740912030806]",1
344,3685.Black_Beauty,"[7.381562772208672, 79.99584196635348]",0
345,9275658-legend,"[7.123716392637534, 80.01213022486996]",1
346,8921.The_Hound_of_the_Baskervilles,"[6.973231060555758, 79.89003095506742]",1
347,7588.A_Portrait_of_the_Artist_as_a_Young_Man,"[7.9043277528045595, 79.92850665143806]",0
348,7733.Gulliver_s_Travels,"[7.6318512317875, 79.99433706829721]",0
349,5826.Bel_Canto,"[7.4938520197079175, 79.90547993872529]",0
350,28676.American_Psycho,"[7.371010813497136, 80.02368622646851]",0
351,5805.V_for_Vendetta,"[7.020887237635476, 79.8915112957463]",1
352,310259.Love_You_Forever,"[7.735697140530409, 79.8716554334679]",0
353,6327.The_Witches,"[7.880647236634233, 79.95021652156389]",0
354,646462._,"[7.731704479337624, 80.014764264056]",1
355,2213661.The_Graveyard_Book,"[7.392412291279994, 80.01942121997375]",0
356,14905.The_Complete_Novels,"[7.723631158223458, 79.98859581294471]",0
357,13536860-fifty-shades-freed,"[7.848843273114885, 80.00630043375484]",1
358,10920.Cold_Mountain,"[6.940423330975685, 79.92820670836468]",0
359,43035.White_Fang,"[7.223499642062772, 79.89601238976567]",1
360,11387515-wonder,"[7.19017780055966, 79.9223016124462]",1
361,52357.Beowulf,"[7.890974674479855, 79.94398252738237]",0
362,84981.Tuck_Everlasting,"[7.377229284854919, 79.94068503757416]",1
